stage,configuration,sample,sourceCommit,runtimeIdentity,frameCount,callbackCount,frameIntervalP50Ns,frameIntervalP95Ns,frameIntervalP99Ns,frameIntervalMaxNs,activeWorkP50Ns,activeWorkP95Ns,activeWorkP99Ns,activeWorkMaxNs,paintP50Ns,paintP95Ns,paintP99Ns,paintMaxNs,framesOver16_67Count,framesOver20Count,framesOver25Count,framesOver33_3Count,framesOver50Count,framesOver100Count,callbackDeltaP50Ns,callbackDeltaP95Ns,callbackDeltaP99Ns,callbackDeltaMaxNs,callbackAbsoluteLatenessP50Ns,callbackAbsoluteLatenessP95Ns,callbackAbsoluteLatenessP99Ns,callbackAbsoluteLatenessMaxNs,callbackDeltaErrorP50Ns,callbackDeltaErrorP95Ns,callbackDeltaErrorP99Ns,callbackDeltaErrorMaxNs,measuredWallDurationNs,processWallNs,driver,timerFps,clock,timerDeadlinePolicy,eventLoopPolicy,yieldPolicy,prefetchThreadMode,prefetchWorkerSleepMs,expectedCallbackIntervalNs,syntheticPacingProfile,syntheticPacingIntervalNs,sleepRequestCount,totalRequestedSleepNs,totalActualSleepNs,sleepOvershootP50Ns,sleepOvershootP95Ns,sleepOvershootP99Ns,sleepOvershootMaxNs,deadlineErrorP50Ns,deadlineErrorP95Ns,deadlineErrorP99Ns,deadlineErrorMaxNs
3,timer-60-millis,1,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,144,144,20131125,24501083,30675584,40141000,4307000,8428333,14546667,24289667,4289542,8382583,14528917,24270000,140,76,6,1,0,0,20131125,24501083,30675584,40141000,371067792,657765500,695194333,702280500,4131125,8501083,14675584,24141000,3012879833,18415871125,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,timer-60-millis,2,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,150,150,19743125,23267500,23938416,25388458,3657000,6910958,7804292,9253583,3639834,6860292,7760625,9209708,141,52,1,0,0,0,19743125,23267500,23938416,25388458,273538208,569229333,594553500,601685375,3743125,7267500,7938416,9388458,3004954041,18477402375,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,timer-60-millis,3,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,144,144,20149917,25022916,29064209,32073875,4142792,8810042,11866709,16106000,4126959,8731125,11805917,16086542,141,83,8,0,0,0,20149917,25022916,29064209,32073875,324327417,669456708,705684792,710598458,4149917,9022916,13064209,16073875,3021634000,18506538208,timer,60,millis,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,timer-60-nano,4,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,137,137,21688417,26147166,33177209,41786833,5681209,9963833,17232375,25747167,5661916,9917792,17212791,25727709,134,97,16,1,0,0,21688417,26147166,33177209,41786833,399336292,801354500,822914417,829910917,5688417,10147166,17177209,25786833,3030706792,18472900541,timer,60,nano,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,timer-60-nano,5,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,141,141,20401333,26247584,29153792,29344541,4310666,10114041,13077792,13208250,4269666,10066958,13058375,13184125,138,87,18,0,0,0,20401333,26247584,29153792,29344541,357178042,732803875,757901042,767064417,4401333,10247584,13153792,13344541,3026453875,18953025708,timer,60,nano,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,timer-60-nano,6,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,151,151,19602292,23520750,34994875,36890916,3492666,8355458,18748375,20649833,3467959,8305375,18728167,20632417,145,25,4,2,0,0,19602292,23520750,34994875,36890916,352561167,584175208,598045083,601281833,3602292,7520750,18994875,20890916,3020425625,18588830208,timer,60,nano,native-relative,timer-events,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-millis,7,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,139,139,20011417,25655875,31818916,33770750,3898375,9519041,15618916,17595416,3878334,9460916,15595375,17569083,138,70,18,1,0,0,20011417,25655875,31818916,33770750,336944375,739301334,769898292,777874792,4028208,9655875,15818916,17770750,3007832500,18909114791,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-millis,8,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,139,139,20122708,26221167,31129000,40673750,3974667,9836666,12887333,24512250,3949500,9781166,12864583,24491500,138,79,16,1,0,0,20122708,26221167,31129000,40673750,409586167,754839417,778489292,786459625,4122708,10221167,15129000,24673750,3018115792,18756936625,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-millis,9,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,139,139,20765083,25770583,27951291,30735583,4553083,9515083,10355250,11259167,4529208,9459417,10301708,11186792,138,88,13,0,0,0,20765083,25770583,27951291,30735583,330514666,733743208,774865458,783599916,4839750,9770583,11951291,14735583,3011293291,18486235125,update,,millis,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-nano,10,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,137,137,21497917,25944875,30125375,61243166,5214500,9245125,13159375,44897291,5173542,9169000,13133292,44875791,136,101,10,1,1,0,21497917,25944875,30125375,61243166,402507834,783513334,820786084,828269209,5497917,9944875,14125375,45243166,3028820709,18590544500,update,,nano,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-nano,11,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,136,136,20722417,26340458,44389333,54139667,4644042,9458833,28332125,37963250,4606375,9404833,28301333,37935333,135,97,12,2,1,0,20722417,26340458,44389333,54139667,374560292,780290500,821419417,825577375,4722417,10340458,28389333,38139667,3004991042,18491900334,update,,nano,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
3,update-nano,12,fb9dda02b664a08fc9521424d3e4fad2aedb604a,ac48fc121de338951824d645f5c7d5e37090e33d6cc6a085bf9d4553906895e0,142,142,20639125,25139000,26837666,30279542,4417416,8827625,9723583,10157000,4397000,8770125,9655333,10041417,140,84,9,0,0,0,20639125,25139000,26837666,30279542,310429791,690990458,736223458,742243000,4639125,9139000,10837666,14279542,3024400000,18436307666,update,,nano,not-applicable,update-listener,none,worker-semaphore,0,16000000,,,,,,,,,,,,,
