stage,configuration,sample,sourceCommit,runtimeIdentity,frameCount,callbackCount,frameIntervalP50Ns,frameIntervalP95Ns,frameIntervalP99Ns,frameIntervalMaxNs,activeWorkP50Ns,activeWorkP95Ns,activeWorkP99Ns,activeWorkMaxNs,paintP50Ns,paintP95Ns,paintP99Ns,paintMaxNs,framesOver16_67Count,framesOver20Count,framesOver25Count,framesOver33_3Count,framesOver50Count,framesOver100Count,callbackDeltaP50Ns,callbackDeltaP95Ns,callbackDeltaP99Ns,callbackDeltaMaxNs,callbackAbsoluteLatenessP50Ns,callbackAbsoluteLatenessP95Ns,callbackAbsoluteLatenessP99Ns,callbackAbsoluteLatenessMaxNs,callbackDeltaErrorP50Ns,callbackDeltaErrorP95Ns,callbackDeltaErrorP99Ns,callbackDeltaErrorMaxNs,measuredWallDurationNs,processWallNs,driver,timerFps,clock,timerDeadlinePolicy,eventLoopPolicy,yieldPolicy,timerDeadlineMode,eventLoopMode,threadYieldMode,prefetchThreadMode,prefetchWorkerSleepMs,expectedCallbackIntervalNs,syntheticPacingProfile,syntheticPacingIntervalNs,sleepRequestCount,totalRequestedSleepNs,totalActualSleepNs,sleepOvershootP50Ns,sleepOvershootP95Ns,sleepOvershootP99Ns,sleepOvershootMaxNs,deadlineErrorP50Ns,deadlineErrorP95Ns,deadlineErrorP99Ns,deadlineErrorMaxNs
4,timer-60-nano-relative,1,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,146,146,19522375,21582167,31978417,152489333,3481250,5359583,15694834,136348375,3464334,5337625,15673084,136326625,140,32,3,1,1,1,19522375,21582167,31978417,152489333,422623167,651130125,679028417,679350833,3522375,5582167,15978417,136489333,3018617417,18036905667,timer,60,nano,native-relative,timer-events,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,timer-60-nano-relative,2,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,149,149,19640458,23708000,25277167,41865375,3505042,7627417,9151459,25625958,3485583,7582708,9105000,25606333,144,47,2,1,0,0,19640458,23708000,25277167,41865375,295711375,600917708,623319875,629173958,3640458,7708000,9277167,25865375,3020670333,18104335375,timer,60,nano,native-relative,timer-events,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,timer-60-nano-relative,3,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,147,147,19777042,24334583,36795417,40878541,3672292,8188666,20847834,24860916,3652417,8142833,20827875,24843375,142,61,6,2,0,0,19777042,24334583,36795417,40878541,327792250,615878375,645776500,650034750,3777042,8334583,20795417,24878541,3006222250,18022282458,timer,60,nano,native-relative,timer-events,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,timer-60-nano-absolute,4,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,172,172,16407125,20310625,32113708,79976000,3684666,4561250,23996458,65030250,3665958,4540375,23951291,65012667,57,13,2,1,1,0,16407125,20310625,32113708,79976000,166691916,248699833,253770041,258044791,428542,4310625,16113708,63976000,3013338791,18443361166,timer,60,nano,native-absolute,timer-events,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,timer-60-nano-absolute,5,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,177,177,16237333,20159958,23034959,63131541,3677875,4695708,7527375,59610541,3658792,4661292,7502083,59586291,45,12,1,1,1,0,16237333,20159958,23034959,63131541,139379791,163099541,174129291,174133875,321625,4159958,7034959,47131541,3010829583,18404777500,timer,60,nano,native-absolute,timer-events,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,timer-60-nano-absolute,6,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,173,173,16355792,20663041,31973958,64821792,3698125,4869250,23848291,54377667,3678042,4843417,23830500,54358375,58,19,2,1,1,0,16355792,20663041,31973958,64821792,156524000,236054834,245846667,245884250,446292,4663041,15973958,48821792,3017515792,18427914458,timer,60,nano,native-absolute,timer-events,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-relative,7,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,149,149,19630875,23266250,29632542,36858541,3529416,5694458,10091959,20753708,3506250,5673625,10061250,20727500,148,41,5,1,0,0,19630875,23266250,29632542,36858541,310605625,596685000,616602917,619863917,3632000,7266250,13632542,20858541,3007449542,17997562333,update,,nano,not-applicable,update-listener,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-relative,8,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,145,145,20065708,24227917,31699583,42783750,3581500,7683833,10099959,26235666,3557917,7634583,10043959,26196666,144,81,3,1,0,0,20065708,24227917,31699583,42783750,342083708,641911625,677453333,680629333,4067291,8227917,15699583,26783750,3004699083,18002166167,update,,nano,not-applicable,update-listener,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-relative,9,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,144,144,20080166,25378083,27421042,70752584,3572084,8316417,11131042,54132167,3551416,8263458,11028084,54110750,142,87,8,1,1,0,20080166,25378083,27421042,70752584,334430750,670683667,705207667,711470250,4105500,9378083,11421042,54752584,3018927833,18132608833,update,,nano,not-applicable,update-listener,none,relative,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-absolute,10,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,148,148,16228458,32252083,32406458,47530291,3995750,7096958,14958500,35152875,3940791,7065875,14928000,35129875,48,44,37,1,0,0,16228458,32252083,32406458,47530291,368275500,618123625,633619750,633730000,359917,16252083,16406458,31530291,3004713625,18400495958,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-absolute,11,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,138,138,16397375,32190291,32450583,111789250,3838208,8113167,10592875,110440916,3814250,8064917,10517208,110417875,57,49,43,1,1,1,16397375,32190291,32450583,111789250,388892500,793165125,793900833,793916250,444041,16190291,16450583,95789250,3005130875,18367100667,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
4,update-nano-absolute,12,92f5e94e645be3675bb7a457b4f523639573c660,b710aa23d55323e10d8c5b57fc0a96154db372a7d24dbfd0543d22c1c1d43d86,154,154,16210417,32069625,32615167,80423417,3780833,6361209,20653250,73133084,3756000,6305334,20630875,73109667,44,34,31,1,1,0,16210417,32069625,32615167,80423417,305120875,528993125,544613250,544640542,391666,16069625,16615167,64423417,3013031583,18365010708,update,,nano,not-applicable,update-listener,none,absolute,poll,legacy,worker-semaphore,0,16000000,,,,,,,,,,,,,
