backing_live_bytes,backing_peak_bytes,direct_draw_plan_executions,direction,draw_plan_cache_hits,draw_plans_created,elapsed_total_ms,fixture,frame_time_max_ms,frame_time_min_ms,frame_time_p50_ms,frame_time_p95_ms,frame_time_p99_ms,frames,frames_ge_17_ms,frames_ge_34_ms,full_jpeg_decodes,generic_geometry_draws,image_controls,image_count,image_materializations,image_pipelines,native_geometry_materializations,pass,physical_identity_attempts,physical_identity_fallbacks,physical_identity_hits,physical_variant_hits,physical_variant_lookups,physical_variant_misses,physical_variant_stores,record,resolution,rows,run,screen_spec,scroll_distance,scroll_end,scroll_max,scroll_start,smooth_resample_draws,target_color_attempts,target_color_hits,target_color_materializations,target_color_profile,targeted_jpeg_decodes,tile_logical,ui_build_elapsed_ms,variant_cache_profile,write_pixels_attempts,write_pixels_copied_bytes,write_pixels_fallbacks,write_pixels_hits
940232584,940232584,0,top-to-bottom,0,669,12859,ImageScrollRealWorkloadBenchmarkApp,270,8,54,57,61,292,217,217,4,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,disabled,659,159,313,disabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,2432,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,0,34911,34911,0,0,0,0,disabled,0,159,313,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,disabled,0,159,313,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,669,13438,ImageScrollRealWorkloadBenchmarkApp,275,8,57,60,64,292,217,217,4,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,disabled,659,159,223,enabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,2432,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,0,34911,34911,0,0,0,0,disabled,0,159,223,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-disabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,disabled,0,159,223,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,669,12803,ImageScrollRealWorkloadBenchmarkApp,264,8,54,57,60,292,217,217,4,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,enabled,659,159,203,disabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,2432,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,0,34911,34911,0,0,0,0,enabled,0,159,203,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-disabled,480x720x24,34911,34911,34911,0,0,0,0,0,enabled,0,159,203,disabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,669,12748,ImageScrollRealWorkloadBenchmarkApp,257,6,54,57,60,292,217,217,4,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,enabled,659,159,207,enabled,5093,0,5093,0
940232584,940232584,0,bottom-to-top,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,292,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,0,34911,34911,0,0,0,0,enabled,0,159,207,enabled,5093,0,5093,0
940232584,940232584,0,top-to-bottom,0,0,2433,ImageScrollRealWorkloadBenchmarkApp,10,6,8,9,10,292,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,480x720,221,480x720-target-enabled-variant-enabled,480x720x24,34911,34911,34911,0,0,0,0,0,enabled,0,159,207,enabled,5093,0,5093,0
1019597208,1019597208,0,top-to-bottom,0,669,15960,ImageScrollRealWorkloadBenchmarkApp,372,8,67,70,72,327,216,216,8,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,655,179,208,disabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,0,0,2739,ImageScrollRealWorkloadBenchmarkApp,14,7,8,10,10,327,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,0,39091,39091,0,0,0,0,disabled,0,179,208,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,0,179,208,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,669,15990,ImageScrollRealWorkloadBenchmarkApp,375,7,67,70,72,327,217,216,8,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,655,179,206,enabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,0,0,2726,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,0,39091,39091,0,0,0,0,disabled,0,179,206,enabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,6,8,9,10,327,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-disabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,disabled,0,179,206,enabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,669,16033,ImageScrollRealWorkloadBenchmarkApp,372,8,67,71,74,327,216,216,8,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,enabled,655,179,200,disabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,0,0,2725,ImageScrollRealWorkloadBenchmarkApp,10,6,8,9,10,327,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,0,39091,39091,0,0,0,0,enabled,0,179,200,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,0,2726,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm2,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-disabled,540x960x24,39091,39091,39091,0,0,0,0,0,enabled,0,179,200,disabled,6552,0,6552,0
1019597208,1019597208,0,top-to-bottom,0,669,16014,ImageScrollRealWorkloadBenchmarkApp,376,8,67,70,72,327,216,216,8,0,663,663,663,12,669,cold,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,39091,39091,0,0,0,0,0,enabled,655,179,214,enabled,6552,0,6552,0
1019597208,1019597208,0,bottom-to-top,0,0,2724,ImageScrollRealWorkloadBenchmarkApp,10,7,8,9,10,327,0,0,0,0,663,663,0,0,0,warm,0,0,0,0,0,0,0,pass,540x960,221,540x960-target-enabled-variant-enabled,540x960x24,39091,0,39091,39091,0,0,0,0,enabled,0,179,214,enabled,6552,0,6552,0
