compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
compras values (27008, '01525686', '00124', '2011/11/21', null, 14, 761880, '029')
compras values (31682, '01529274', '00124', '2011/11/28', null, 14, 343840, '029')
compras values (12444, '01514767', '00508', '2011/11/02', null, 14, 208510, '029')
compras values (16771, '01517118', '00508', '2011/11/06', null, 14, 100300, '029')
compras values (27010, '01525594', '00508', '2011/11/21', null, 14, 190430, '029')
compras values (27996, '01526256', '00508', '2011/11/22', null, 14, 586360, '029')
compras values (29744, '01527065', '00508', '2011/11/24', null, 14, 209000, '029')
compras values (66, '01505227', '01201', '2011/10/13', null, 21, 1896730, '029')
compras values (65, '01507337', '01201', '2011/10/18', null, 21, 508280, '029')
compras values (64, '01508742', '01201', '2011/10/20', null, 21, 953720, '029')
compras values (12451, '01515269', '01201', '2011/11/02', null, 21, 248000, '029')
compras values (15064, '01516124', '01201', '2011/11/03', null, 21, 673730, '029')
compras values (18308, '01518705', '01201', '2011/11/08', null, 21, 1017060, '029')
compras values (23935, '01523147', '01201', '2011/11/16', null, 21, 628700, '029')
compras values (28917, '01526987', '01201', '2011/11/23', null, 21, 373560, '029')
compras values (67, '01505232', '01219', '2011/10/13', null, 7, 713800, '029')
compras values (15065, '01516129', '01219', '2011/11/03', null, 7, 784360, '029')
compras values (16253, '01516651', '01219', '2011/11/04', null, 7, 7888800, '029')
compras values (23946, '01524079', '01219', '2011/11/17', null, 7, 633600, '029')
compras values (116, '01502820', '02176', '2011/10/10', null, 10, 462400, '029')
compras values (115, '01506292', '02176', '2011/10/17', null, 10, 599520, '029')
compras values (12464, '01513471', '02176', '2011/10/31', null, 10, -800, '029')
compras values (21838, '01521584', '02176', '2011/11/14', null, 10, 811110, '029')
compras values (153, '01502819', '02528', '2011/10/10', null, 10, 392700, '029')
compras values (152, '01506291', '02528', '2011/10/17', null, 10, 562400, '029')
compras values (7823, '01509902', '02528', '2011/10/24', null, 10, 532060, '029')
